"ID","cooperation","experiment","age","gender","know_name","experience","understood_payoffs"
1,0,1,38,"Female",0,1,FALSE
2,0,1,33,"Female",1,3,TRUE
3,1,1,44,"Female",0,2,TRUE
4,1,1,22,"Male",0,3,TRUE
5,1,1,23,"Male",1,3,TRUE
6,1,1,19,"Male",1,3,TRUE
7,1,1,20,"Female",0,1,TRUE
8,1,1,26,"Female",0,1,TRUE
9,0,1,22,"Female",0,2,TRUE
10,0,1,23,"Male",0,3,TRUE
11,1,1,35,"Male",1,3,TRUE
12,1,1,36,"Female",0,2,FALSE
13,1,1,24,"Male",0,3,TRUE
14,1,1,34,"Female",0,3,TRUE
15,0,1,33,"Female",0,1,TRUE
16,1,1,21,"Female",0,1,TRUE
17,1,1,24,"Female",0,3,TRUE
18,1,1,21,"Male",0,2,TRUE
19,1,1,23,"Male",0,3,TRUE
20,1,1,31,"Male",0,1,TRUE
21,1,1,56,"Female",0,1,TRUE
22,1,1,59,"Male",0,1,TRUE
23,0,1,26,"Male",0,2,FALSE
24,1,1,19,"Male",0,2,TRUE
25,0,1,20,"Female",0,1,TRUE
26,1,1,26,"Male",1,2,TRUE
27,0,1,23,"Male",0,1,TRUE
28,1,1,22,"Male",0,5,TRUE
29,0,1,27,"Male",0,1,TRUE
30,1,1,22,"Male",0,3,TRUE
31,0,1,19,"Male",0,3,TRUE
